"idno","typesamp","interva","telnum","agea_1","gendera1","type","access","physa","littera","vandaa","psu","prob","vote","prtvtbgb","prtclbgb","prtdgcl","ctzcntr","ctzshipc","brncntr","cntbrthc","cgtsmke","cgtsday","alcfreq","alcwkdy","alcwknd","hhmmb","gndr","agea","eisced","pdwrk","edctn","uempla","uempli","rtrd","wrkctra","hinctnta","region","alcohol_day"
100000103,"Address","Complete and valid interview related to CF","Present","20 to 39","Female","Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",9439,0.00010153082006117,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"2-3 times a month",59,24,3,"Female",34,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Not marked","Unlimited","P - 8th decile","Yorkshire and the Humber",2.46857142857143
100000104,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",9289,0.00010153082006117,"Yes","Labour","Labour","Not close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Every day",14,18,2,"Male",58,"ES-ISCED I , less than lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","M - 4th decile","South East (England)",15.1428571428571
100000107,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","No, neither of these","Satisfactory","Small amount","None or almost none",9464,0.00010153082006117,"No",NA,"Conservative","Very close","No",NA,"No","Zimbabwe","I have only smoked a few times",0,"Once a week",87,32,2,"Male",21,"ES-ISCED IIIa, upper tier upper secondary","Marked","Not marked","Not marked","Not marked","Not marked","No contract","P - 8th decile","East of England",20.4081632653061
100000108,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone","Satisfactory","None or almost none","None or almost none",9296,0.00010153082006117,"Not eligible to vote",NA,NA,NA,"No",NA,"No","Zimbabwe","I have never smoked",0,"Never",NA,NA,3,"Female",16,"Other","Not marked","Marked","Marked","Not marked","Not marked",NA,NA,"South West (England)",0
100000109,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9440,0.00020306164012234,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Several times a week",16,0,1,"Female",85,"ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not marked","Marked","No contract","M - 4th decile","London",8.34285714285714
100000110,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9463,0.00010153082006117,"Yes",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke daily",10,"Less than once a month",0,0,2,"Female",54,"ES-ISCED V2, higher tertiary education, >= MA level","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","M - 4th decile","East of England",0.000653061224489796
100000111,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Satisfactory","Small amount","None or almost none",9297,0.00020306164012234,"Not eligible to vote",NA,"Labour","Very close","Yes",NA,"No",NA,"I have never smoked",0,"Never",NA,NA,2,"Female",37,"ES-ISCED I , less than lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","London",0
100000113,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Satisfactory","None or almost none","None or almost none",9414,0.00020306164012234,"No",NA,NA,NA,"Yes",NA,"Yes",NA,"I smoke but not every day",4,"Never",NA,NA,1,"Female",NA,"ES-ISCED V2, higher tertiary education, >= MA level","Not marked","Marked","Not marked","Not marked","Not marked",NA,"J - 1st decile","London",0
100000115,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9289,0.00020306164012234,"Yes","Liberal Democrat","Liberal Democrat","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Once a week",34,24,1,"Female",69,"ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","S - 6th decile","South East (England)",2.24489795918367
100000121,"Address","Complete and valid interview related to CF","Present","20 to 39","Female","Single unit: Terraced house","No, neither of these","Good","Small amount","None or almost none",9277,0.000020306164012234,"Yes","Labour",NA,NA,"Yes",NA,"No","Sri Lanka","I have never smoked",0,"Never",NA,NA,1,"Female",30,"ES-ISCED II, lower secondary","Not marked","Not marked","Not marked","Not marked","Not marked","No contract",NA,"North West (England)",0
100000122,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",9400,0.00010153082006117,"Yes","Conservative","UK Independence Party","Quite close","Yes",NA,"Yes",NA,"I smoke but not every day",2,"Every day",16,16,2,"Male",60,"Other","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","F - 5th decile","North West (England)",16
100000123,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Terraced house","No, neither of these","Good","Small amount","None or almost none",9393,0.0000676872133741134,"Yes","Conservative","UK Independence Party","Quite close","Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"Several times a week",277,181,3,"Male",64,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","K - 7th decile","South West (England)",NA
100000124,"Address","Complete and valid interview related to CF","Present",NA,NA,"Multi-unit house, flat","No, neither of these","Satisfactory","None or almost none","None or almost none",9236,0.00020306164012234,"Yes","Conservative","Conservative","Quite close","Yes",NA,"Yes",NA,"I smoke daily",5,"Several times a week",8,24,1,"Male",66,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","S - 6th decile","East of England",16.5714285714286
100000126,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9430,0.00010153082006117,"Yes",NA,NA,NA,"Yes",NA,"Yes",NA,"I don't smoke now but I used to",0,"2-3 times a month",0,17,2,"Female",78,"ES-ISCED V1, lower tertiary education, BA level","Not marked","Not marked","Not marked","Not marked","Marked",NA,NA,"West Midlands (England)",0.0130612244897959
100000127,"Address","Complete and valid interview related to CF","Present",NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",9293,0.00020306164012234,"No",NA,"Liberal Democrat","Quite close","Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,1,"Female",69,"ES-ISCED IV, advanced vocational, sub-degree","Not marked","Not marked","Not marked","Not marked","Marked","Unlimited","R - 2nd decile","Wales",0
100000139,"Address","Complete and valid interview related to CF","Refused",NA,NA,"Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",9239,0.00010153082006117,"Yes","Conservative",NA,NA,"Yes",NA,"Yes",NA,"I have never smoked",0,"Never",NA,NA,2,"Female",61,"ES-ISCED II, lower secondary","Marked","Not marked","Not marked","Not marked","Not marked","Unlimited","C - 3rd decile","South East (England)",0
